sku,status,category,series,name,bagType,primaryColor,material,dimensionsCm,sizeClass,moq,keywords
HJ-BW100001,labeled,women,P,Quilted Leather-Look Mini Backpack,backpack,black,PU leather (vegan leather),20*13*23,small,1000,backpack; bag; black; black backpack; casual; casual outings; chic; drawstring backpack; elegant; everyday; everyday backpack; fashion backpack; faux leather; faux leather backpack; gold; gold hardware backpack; mini backpack; pu leather; pu leather backpack; quilted; quilted backpack; quilted bag; school; small backpack; travel; vegan leather; vegan leather backpack; women backpack; women bag; womens bag
HJ-BW100002,labeled,women,P,Large Structured Faux-Leather Tote Bag,tote bag,grey,PU leather (vegan leather),32*13*30,medium,1000,bag; casual; commute; elegant; everyday; everyday tote; faux leather; faux leather tote; gold; grey; grey tote bag; handbag; large tote; medium tote bag; minimalist; off-white; pu leather; pu leather tote; shopper bag; shopping; shoulder bag; solid; structured; structured tote; top handle bag; tote bag; vegan leather; vegan leather tote; women bag; women tote bag; womens bag; work; work bag
HJ-BW100003,labeled,women,P,Mini Suede-Look Chain Crossbody Bag,crossbody bag,black,PU leather (vegan leather),17*8*12,small,1000,bag; black; black crossbody; burgundy; burgundy bag; casual; chain bag; chain strap bag; chain-strap; chic; crossbody bag; cute; date night; elegant; evening; evening bag; everyday; faux leather; faux leather bag; gold; mini bag; party; party bag; pu leather; pu leather crossbody; shoulder bag; sling bag; small crossbody bag; small flap bag; solid; vegan leather; women bag; women crossbody; womens bag
HJ-BW100004,labeled,women,P,Glossy Two-Tone Faux-Leather Satchel,satchel,black,PU leather (vegan leather),25*14*21,medium,1000,bag; black; black handbag; chic; colorblock; colorblock bag; cream; crossbody bag; elegant; evening; everyday; faux leather; faux leather handbag; gold; handbag; medium satchel; office; pu leather; pu leather satchel; satchel; shoulder bag; structured; structured handbag; top handle bag; two tone bag; vegan leather; vegan leather bag; women bag; women satchel; womens bag; work; work bag
HJ-BW100005,labeled,women,P,Star-Print & Glitter Zip Wristlet Clutch (Set of 3),clutch,black,PU leather (vegan leather),24*18,small,1000,bag; black; black clutch; casual; clutch; concert; cute; evening; evening bag; everyday; faux leather; flat pouch; glitter; glitter bag; gold; night out; party; party bag; pink; pu clutch; pu leather; purple; silver; silver clutch; small clutch; small purse; sparkle; sparkle clutch; star print bag; star-print; vegan leather; white; women; women bag; womens bag; wrist strap bag; wristlet; zip pouch
HJ-BW100006,labeled,women,P,Structured Mini Tote Bag with Printed Webbing Crossbody Strap,tote bag,black,PU leather (vegan leather),26*10*25,medium,1000,bag; black; black tote; casual; casual bag; chain-strap; commute; crossbody bag; everyday; everyday bag; faux leather; handbag; medium tote bag; mini tote; minimalist; pu leather; pu tote; school; shopping; shoulder bag; slogan; solid; sporty; sporty tote; structured; structured bag; top handle bag; tote bag; vegan leather; webbing strap bag; white; women; women bag; womens bag; work
HJ-BW100007,labeled,women,P,Red Saddle Handbag with Detachable Crossbody Strap,handbag,red,PU leather (vegan leather),23*8*15,small,1000,bag; classic; crossbody bag; date; day bag; dinner; elegant; elegant bag; everyday; faux leather; faux leather bag; feminine; handbag; pu handbag; pu leather; purse; red; red bag; saddle; saddle bag; shopping; shoulder bag; sling bag; small handbag; solid; structured handbag; top handle bag; top-handle; vegan leather; women; women bag; womens bag; work
HJ-BW100008,labeled,women,P,Mini Suede-Look Flap Crossbody Bag with Chain Strap,crossbody bag,pink,PU leather (vegan leather),21*8*15,small,1000,bag; blue; blue bag; chain strap bag; chain-strap; crossbody bag; cute; cute bag; date; elegant; evening; everyday; faux leather; flap bag; lock closure bag; mini bag; minimalist; party; pink; pink bag; pu crossbody; pu leather; shopping; shoulder bag; sling bag; small crossbody bag; small purse; solid; suede bag; suede-look; vegan leather; women; women bag; womens bag; yellow; yellow bag
HJ-BW100009,labeled,women,P,Chevron Quilted Leather Flap Shoulder Bag,shoulder bag,black,PU leather (vegan leather),25*7*16,medium,1000,bag; black; black handbag; chain strap bag; chain-strap; chevron; chevron bag; classic; crossbody flap bag; date; elegant; elegant bag; evening; everyday; faux leather; flap; flap bag; medium shoulder bag; party; party bag; pink; pink handbag; pu leather; pu leather bag; quilted; quilted bag; quilted purse; shoulder bag; solid; turn lock bag; vegan leather; women bag; womens bag; work
HJ-BW100010,labeled,women,P,Woven-Texture Bee Motif Mini Backpack,backpack,gray,100% polyester,22*13*25,medium,1000,backpack; bag; bee backpack; black; casual; casual backpack; casual outing; cute; cute backpack; daypack; everyday; gray; gray backpack; medium backpack; mini backpack; minimalist; polyester; polyester backpack; school; school bag; small backpack; solid; sporty; textured; textured backpack; travel; travel backpack; women bag; womens backpack; womens bag; yellow; zip backpack
